GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos,ADI,VMI
5679,"Eubanks, Drew",Drew Eubanks,20190410,sas,dal,H,20190410-dal-sas,20,105,94,0,2.6,1,1,0,0,-0.25,0,0pt 0-1fg,0,0,3500,0,3000,0,,,10,0,4,45,,4,61.59,1.68
5679,"Eubanks, Drew",Drew Eubanks,20190407,sas,cle,A,20190407-sas-cle,15,112,90,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,63.74,-4.54
5679,"Eubanks, Drew",Drew Eubanks,20190405,sas,was,A,20190405-sas-was,19,129,112,0,3.8,1,1,5.2,4.75,4.75,5.2,2pt 1rb 1bl 1to 1-1fg,0,0,3500,0,3000,0,,,10,0,4,45,,4,67.12,-11.14
5679,"Eubanks, Drew",Drew Eubanks,20190403,sas,den,A,20190403-sas-den,21,85,113,0,12,1,1,9.2,9,8.5,9.2,0pt 6rb 1st 1to 0-2fg,0,0,3500,0,3000,0,,,10,0,4,45,,4,43.79,20.29
5679,"Eubanks, Drew",Drew Eubanks,20190402,sas,atl,H,20190402-atl-sas,20.5,117,111,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,64.2,-0.12
5679,"Eubanks, Drew",Drew Eubanks,20190331,sas,sac,H,20190331-sac-sas,19,106,113,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,64.01,0
5679,"Eubanks, Drew",Drew Eubanks,20190328,sas,cle,H,20190328-cle-sas,20.5,116,110,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,64.01,-0.2
5679,"Eubanks, Drew",Drew Eubanks,20190326,sas,cha,A,20190326-sas-cha,19,116,125,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,64.01,-0.26
5679,"Eubanks, Drew",Drew Eubanks,20190324,sas,bos,A,20190324-sas-bos,19.5,115,96,0,2.35,1,1,3.9,4,3.5,3.9,0pt 2rb 1as 0-2fg,0,0,3500,0,3000,0,,,10,0,4,45,,4,62,2.74
5679,"Eubanks, Drew",Drew Eubanks,20190322,sas,hou,A,20190322-sas-hou,20,105,111,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,65.84,-1.83
5679,"Eubanks, Drew",Drew Eubanks,20190320,sas,mia,H,20190320-mia-sas,20.5,105,110,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,64.01,0
5679,"Eubanks, Drew",Drew Eubanks,20190318,sas,gsw,H,20190318-gsw-sas,20,111,105,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,64.01,0
5679,"Eubanks, Drew",Drew Eubanks,20190316,sas,por,H,20190316-por-sas,20.5,108,103,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,64.01,-0.03
5679,"Eubanks, Drew",Drew Eubanks,20190315,sas,nyk,H,20190315-nyk-sas,20.5,109,83,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,64.01,-0.13
5679,"Eubanks, Drew",Drew Eubanks,20190312,sas,dal,A,20190312-sas-dal,20,112,105,0,3.066666667,1,1,4.1,4.75,4.5,4.1,0pt 3rb 1as 1to 0-1fg,0,0,3500,0,3000,-100,,,10,0,4,45,,4,63.69,0.37
5679,"Eubanks, Drew",Drew Eubanks,20190310,sas,mil,H,20190310-mil-sas,20,121,114,0,0,0,1,0,0,0,0,,0,0,3500,0,3100,0,,,10,0,4,45,,4,63.65,0.41
5679,"Eubanks, Drew",Drew Eubanks,20190306,sas,atl,A,20190306-sas-atl,19.5,111,104,0,9.833333333,1,1,9,8.25,8.25,9,0pt 5rb 1bl,0,0,3500,0,3100,100,,,10,0,4,45,,4,64.2,0.2
5679,"Eubanks, Drew",Drew Eubanks,20190304,sas,den,H,20190304-den-sas,20.5,104,103,0,3.983333333,1,1,8,7,7,8,2pt 2as 1bl 2-2ft,0,0,3500,0,3000,0,,,10,0,4,45,,4,65.38,-0.98
5679,"Eubanks, Drew",Drew Eubanks,20190302,sas,okc,H,20190302-okc-sas,20.5,116,102,0,2.383333333,1,1,0.2,0.75,0.75,0.2,0pt 1rb 1to,0,0,3500,0,3000,0,,,10,0,4,45,,4,63.56,0.52
5679,"Eubanks, Drew",Drew Eubanks,20190227,sas,det,H,20190227-det-sas,20.5,105,93,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,63.83,1
5679,"Eubanks, Drew",Drew Eubanks,20190225,sas,bkn,A,20190225-sas-bkn,19.5,85,101,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,67.03,-1.69
5679,"Eubanks, Drew",Drew Eubanks,20190224,sas,nyk,A,20190224-sas-nyk,19.5,118,130,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,63.92,0.42
5679,"Eubanks, Drew",Drew Eubanks,20190222,sas,tor,A,20190222-sas-tor,19,117,120,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,67.99,-8.23
5679,"Eubanks, Drew",Drew Eubanks,20190212,sas,mem,A,20190212-sas-mem,20,108,107,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,65.7,-7.3
5679,"Eubanks, Drew",Drew Eubanks,20190209,sas,uta,A,20190209-sas-uta,17,105,125,0,3.333333333,1,1,2.7,2.75,2.5,2.7,0pt 1rb 1as 0-1fg,0,0,3500,0,,,,,10,0,4,,,4,46.39,20.25
5679,"Eubanks, Drew",Drew Eubanks,20190207,sas,por,A,20190207-sas-por,22.5,118,127,0,2.283333333,1,1,4.4,4.5,4.5,4.4,2pt 2rb 1-1fg,0,0,3500,0,3000,0,,,10,0,4,45,,4,67.62,-1.86
5679,"Eubanks, Drew",Drew Eubanks,20190206,sas,gsw,A,20190206-sas-gsw,22.5,102,141,0,21.13333333,1,1,14.2,13.25,13.25,14.2,9pt 1rb 2bl 2to 3-3fg 3-3ft,0,0,3500,0,3000,0,,,10,0,4,45,,4,67.62,-3.18
5679,"Eubanks, Drew",Drew Eubanks,20190204,sas,sac,A,20190204-sas-sac,22,112,127,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,65.02,-0.8
5679,"Eubanks, Drew",Drew Eubanks,20190202,sas,nor,H,20190202-nor-sas,20.5,113,108,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,64.01,0.21
5679,"Eubanks, Drew",Drew Eubanks,20190131,sas,bkn,H,20190131-bkn-sas,20.5,117,114,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,64.33,0.2
5679,"Eubanks, Drew",Drew Eubanks,20190129,sas,pho,H,20190129-pho-sas,20.5,126,124,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,65.2,-0.25
5679,"Eubanks, Drew",Drew Eubanks,20190127,sas,was,H,20190127-was-sas,19,132,119,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,,,10,0,4,45,,4,64.33,1.11
